t;Csour;Esol;Rt;A_405;A_450;A_492;A_630;A405;A450;A492;A630;;;;;;;;;;;;;;
30;CS;N1;50;0.239;0.241;0.252;0.286;0.152;0.148;0.144;0.205;;;;;;;;;;;;;;
30;CS;N1;60;0.233;0.23;0.24;0.241;0.146;0.137;0.132;0.16;;;;;;;;;;;;;;
30;CS;N1;70;0.166;0.175;0.183;0.16;0.079;0.082;0.075;0.079;;;;;;;;;;;;;;
30;CS;N1;80;0.128;0.131;0.133;0.136;0.041;0.038;0.025;0.055;;;;;;;;;;;;;;
30;CT;N4;10;0.251;0.257;0.265;0.303;0.206;0.216;0.219;0.254;;;;;;;;;;;;;;
30;CT;N4;20;0.223;0.223;0.227;0.248;0.178;0.182;0.181;0.199;;;;;;;;;;;;;;
30;CT;N4;30;0.297;0.3;0.311;0.351;0.252;0.259;0.265;0.302;;;;;;;;;;;;;;
30;CT;N4;40;0.341;0.338;0.349;0.365;0.296;0.297;0.303;0.316;;;;;;;;;;;;;;
30;CT;N4;50;0.327;0.33;0.359;0.399;0.282;0.289;0.313;0.35;;;;;;;;;;;;;;
30;CT;N4;60;0.314;0.313;0.345;0.347;0.269;0.272;0.299;0.298;;;;;;;;;;;;;;
30;CT;N4;70;0.328;0.34;0.375;0.361;0.283;0.299;0.329;0.312;;;;;;;;;;;;;;
30;CT;N4;80;0.308;0.316;0.35;0.353;0.263;0.275;0.304;0.304;;;;;;;;;;;;;;
40;CSC;N1;10;0.303;0.297;0.317;0.313;0.188;0.203;0.231;0.219;;;;;;;;;;;;;;
40;CSC;N1;20;0.323;0.375;0.366;0.362;0.208;0.281;0.28;0.268;;;;;;;;;;;;;;
40;CSC;N1;30;0.312;0.358;0.36;0.356;0.197;0.264;0.274;0.262;;;;;;;;;;;;;;
